iter	Logloss
0	0.6660634862
5	0.5924665192
10	0.5661006402
15	0.5562337811
20	0.5511643503
25	0.5481708271
30	0.5463920747
35	0.5447841004
40	0.5434168793
45	0.5422507653
50	0.5411515975
55	0.5400398917
60	0.5391900659
65	0.5382373669
70	0.5374755758
75	0.5366972206
80	0.5357946738
85	0.5350215332
90	0.5343095492
95	0.533597105
100	0.5329064011
105	0.5322924591
110	0.5315541336
115	0.530755917
120	0.5301147134
125	0.5293193342
130	0.5284073167
135	0.5278464409
140	0.5271091124
145	0.5264418358
150	0.5258954151
155	0.52527553
160	0.5245201805
165	0.5237421704
170	0.5231325612
175	0.5226530484
180	0.5219683643
185	0.5212944544
190	0.5207022144
195	0.5201392681
200	0.5195351418
205	0.518938454
210	0.5183843648
215	0.5178224537
220	0.5171674085
225	0.5165943014
230	0.5159828133
235	0.5155052943
240	0.5149166968
245	0.5143418643
250	0.5137073707
255	0.5132334943
260	0.512582475
265	0.5120187618
270	0.5115089967
275	0.5109172934
280	0.5103824139
285	0.5099866414
290	0.5096097335
295	0.5091959016
300	0.5085612546
305	0.5081656355
310	0.5075759261
315	0.5070536613
320	0.5066990687
325	0.5062534125
330	0.5057574891
335	0.5052374482
340	0.5047513788
345	0.5042367058
350	0.5037178152
355	0.5032536778
360	0.5027763506
365	0.5022600672
370	0.5018318185
375	0.5014161846
380	0.5009891245
385	0.5005575017
390	0.5000416401
395	0.4996251626
400	0.4991600283
405	0.4987029459
410	0.4981954431
415	0.4978361344
420	0.4974343804
425	0.4971112672
430	0.4966050296
435	0.4962256678
440	0.4958351866
445	0.4953405668
450	0.4948932235
455	0.4946388586
460	0.4942169747
465	0.4937379604
470	0.4932871663
475	0.4928251377
480	0.4924624549
485	0.4920401493
490	0.4916688778
495	0.4913250595
500	0.4908526401
505	0.4904834774
510	0.4901071446
515	0.4897511334
520	0.4894766386
525	0.4891198606
530	0.4886527708
535	0.488253049
540	0.4878784033
545	0.487555175
550	0.4870775794
555	0.4867050809
560	0.4863086949
565	0.4859254604
570	0.4855446032
575	0.4851660465
580	0.4848616828
585	0.4844557879
590	0.4840512733
595	0.483671528
600	0.4833940041
605	0.4830490356
610	0.4827701698
615	0.4823507782
620	0.4819358344
625	0.4815086976
630	0.4811174112
635	0.480786246
640	0.4803818081
645	0.4800039033
650	0.479639495
655	0.4792708691
660	0.4788869445
665	0.4784854589
670	0.4781235046
675	0.4778912634
680	0.4775164643
685	0.4772176986
690	0.4768322403
695	0.4764886521
700	0.476141268
705	0.4757882475
710	0.4755288214
715	0.47519942
720	0.4748997341
725	0.4745387383
730	0.4742035472
735	0.4739572725
740	0.4736581618
745	0.4732963608
750	0.4729559551
755	0.4726138239
760	0.472286493
765	0.4719530272
770	0.4715856666
775	0.4712849838
780	0.4709267487
785	0.4706298235
790	0.4702657603
795	0.4699499322
800	0.4696188437
805	0.4693391727
810	0.4690575845
815	0.468757055
820	0.468409901
825	0.4680960667
830	0.4678640938
835	0.4675711946
840	0.4672595458
845	0.4669445995
850	0.4666740157
855	0.4663504807
860	0.4660410941
865	0.4657538695
870	0.4654508862
875	0.4651475961
880	0.4648535849
885	0.4644663628
890	0.4641881488
895	0.4639050269
900	0.4636900782
905	0.4634672309
910	0.4631265567
915	0.4628482277
920	0.4625227372
925	0.4622015411
930	0.4618699925
935	0.4615623313
940	0.4612853059
945	0.4609415643
950	0.4606797226
955	0.4603813403
960	0.4600485648
965	0.4598092301
970	0.4595572808
975	0.4592044137
980	0.4589021972
985	0.458654964
990	0.4583680845
995	0.4580738433
999	0.4578823219
