id,sex,employment,married,income,digital3
100001,1,employed,1,21002,.15038191
100002,1,employed,1,53578,.52288318
100003,1,employed,0,38230,.79564065
100004,0,retired,0,15689,.15394956
100005,1,unemployed,1,6770,.79917735
100006,0,employed,1,6347,.73023951
100007,1,employed,0,21324,.28503972
100008,0,student,0,0,.89398777
100009,0,employed,1,36022,.50797993
100010,0,employed,1,122489,.51030004
100011,0,employed,0,12683,0
100012,1,student,0,0,.42625949
100013,1,employed,1,15150,.57921642
100014,1,employed,1,12498,0
100015,1,employed,0,32542,.53177404
100016,1,employed,0,35508,0
100017,1,employed,1,16500,.72614509
100018,1,employed,1,8736,.50107914
100019,0,employed,1,6531,.42538124
100020,0,student,0,0,.75415957
100021,1,employed,1,18672,.53649276
100022,0,unemployed,1,0,0
100023,0,employed,1,14537,.55181754
100024,0,retired,1,3473,.20375092
100025,0,student,0,0,.97267747
100026,0,student,0,7738,.75582331
100027,1,employed,1,8411,0
100028,1,employed,1,11064,.57354277
100029,1,unemployed,1,15387,.36752754
100030,0,unemployed,1,0,.082668632
100031,1,retired,1,171676,.17585766
100032,0,employed,1,39669,.61815131
100033,1,student,0,9294,.73032379
100034,1,employed,1,86639,.48496526
100035,0,employed,1,9004,.64743227
100036,1,employed,1,12448,.99434084
100037,1,employed,0,13018,.90436757
100038,0,unemployed,0,2866,.58915901
100039,0,retired,1,26502,0
100040,0,employed,0,62322,.38832536
100041,1,student,0,0,.49093097
100042,1,employed,1,12512,0
100043,1,retired,1,13106,.23494513
100044,1,employed,1,11570,.55820847
100045,0,unemployed,1,12011,.5924136
100046,1,employed,1,14543,0
100047,1,employed,0,12098,.48457745
100048,0,unemployed,1,0,.13775721
100049,1,employed,1,14630,.12857865
100050,0,student,0,0,.85380936
100051,1,unemployed,1,0,.88059539
100052,0,retired,1,38816,0
100053,0,employed,1,4665,0
100054,1,employed,1,20954,.38954145
100055,1,employed,1,6069,.65608346
100056,1,student,1,0,.61917478
100057,1,retired,1,12627,.25672722
100058,1,student,0,8598,.84395713
100059,1,employed,1,9323,0
100060,1,retired,1,10411,.33217815
100061,1,employed,1,51549,0
100062,1,employed,1,8094,.5520789
100063,1,employed,1,28849,.35435596
100064,1,employed,1,8506,.74834538
100065,1,employed,1,8762,0
100066,0,unemployed,1,7298,.59115559
100067,0,employed,0,7237,.64055794
100068,1,employed,0,8271,.16124672
100069,0,student,0,0,.83906794
100070,1,employed,0,13168,.59006798
100071,0,employed,0,8434,.49333546
100072,1,employed,1,12743,.82669455
100073,1,unemployed,1,0,.57748586
100074,1,employed,1,22289,.86532599
100075,1,unemployed,1,35281,.6508503
100076,1,retired,0,4497,.04416123
100077,1,employed,0,18884,0
100078,1,employed,1,12370,.48489794
100079,0,unemployed,1,0,.66080356
100080,1,unemployed,1,0,0
100081,0,employed,1,4952,0
100082,0,employed,1,130158,0
100083,1,employed,1,16463,.57633853
100084,1,employed,1,23471,0
100085,0,student,0,0,.088134043
100086,0,unemployed,1,0,0
100087,1,employed,1,104443,.048941951
100088,1,employed,0,5407,.41104007
100089,1,employed,0,9443,.82258058
100090,1,employed,1,13367,.79663473
100091,0,employed,0,6001,.70096141
100092,0,student,0,0,.20317885
100093,1,retired,1,161482,.043655705
100094,1,employed,1,13085,.58771783
100095,0,employed,1,9887,.52579314
100096,1,employed,1,25684,.74624133
100097,1,employed,0,8664,.90476972
100098,0,employed,0,5835,.4166469
100099,1,employed,1,31971,.77762473
100100,0,retired,1,65751,0
100101,1,retired,1,16504,.2247519
100102,0,employed,1,33146,.48709607
100103,0,student,0,7683,0
100104,1,employed,0,173081,.15058231
100105,1,unemployed,1,0,.93590999
100106,0,student,0,5433,0
100107,1,unemployed,1,0,.91598767
100108,0,employed,0,21245,.19605644
100109,1,employed,0,66160,.2171196
100110,1,employed,1,16230,.74613303
100111,0,retired,1,22135,0
100112,1,employed,0,7795,.58898896
100113,1,employed,1,13188,0
