id,own,competing1,competing2,borrowertype,accepted,default,profit
1,.13041244,.059362926,.099252492,3,0,0,
2,,.27335891,.2383073,1,0,0,
3,.12849452,.10312952,.21863188,3,0,0,
4,,.4549599,.1013203,3,0,0,
5,,,.28180608,1,0,1,
6,,.54037678,.25380182,3,0,1,
7,,,.74566972,1,0,0,
8,,.80387014,.25149176,3,0,1,
9,,.42577991,.47198996,2,0,0,
10,,.93802863,,2,0,1,
11,,,.33601144,2,0,0,
12,,,,3,0,0,
13,,.35345143,.16228004,3,0,0,
14,,.78928053,.32692978,1,0,0,
15,.25080499,.21601446,.418596,3,0,0,
16,.063303024,.15277888,.33470616,3,1,0,633.03021
17,,.2443296,.17161223,1,0,0,
18,,.52402264,.021870347,1,0,1,
19,,,.66415083,3,0,0,
20,,,.23427561,3,0,0,
21,.04128908,.050575875,.12027371,3,1,0,412.89081
22,,.50297338,.52377695,3,0,1,
23,.18754563,.21461651,.23808894,2,1,0,1875.4563
24,.14405093,.17049602,.25107938,3,1,0,1440.5093
25,,.52785385,,1,0,1,
26,,,,3,0,1,
27,.13427049,.081858568,.14642587,1,0,0,
28,,.59492075,,2,0,1,
29,,.2372853,.21426295,2,0,0,
30,,.29540676,.63694847,3,0,0,
31,.021230359,.034718923,.028043564,2,0,0,
32,,,.14626332,1,0,1,
33,,,.1740278,2,0,1,
34,,.51749104,.86549723,1,0,0,
35,,.46118954,,2,0,0,
36,,.71117151,.47392076,3,0,1,
37,,.27456373,.14934143,2,0,0,
38,,.36101019,.1760052,1,0,1,
39,,.45403552,,1,0,0,
40,.030192638,.032963075,.063621022,1,0,0,
41,,.50364232,.48013633,2,0,0,
42,.18874998,.2670756,.30893284,1,1,0,1887.4999
43,.28170434,.18801342,.21015278,2,0,0,
44,,.11524649,.59677827,1,0,0,
45,.16099684,.71723878,.99395967,1,1,0,1609.9684
46,,,.36473721,1,0,0,
47,,,.11539457,3,0,0,
48,,.93796456,,2,0,0,
49,.25516567,.26163709,.3639589,1,0,0,
50,,.53452945,.020891773,1,0,0,
51,,.48211995,.26878089,2,0,1,
52,.17895302,.27433717,.40752286,3,1,0,1789.5303
53,,.15633655,.32340825,2,0,0,
54,,,.23458883,2,0,0,
55,.15932679,.063368112,.17524342,3,0,0,
56,.13530232,.2443296,.22107495,3,1,0,1353.0232
57,,.65103447,.23059572,2,0,0,
58,,,.11959964,2,0,1,
59,,,.38062856,3,0,1,
60,.14726715,.15790111,.66437995,2,1,0,1472.6715
61,,.5732187,.46259904,2,0,1,
62,,.26372942,.22833876,2,0,0,
63,,.43826255,.22201364,3,0,0,
64,,,,1,0,0,
65,.15442878,.1783468,.15046754,3,1,0,1544.2878
66,,,,1,0,0,
67,,.25437459,.33670938,3,0,0,
68,.06062077,.040874414,.067263477,3,1,0,606.2077
69,.26697457,.067983493,.23140706,1,0,1,
70,.020802589,.01034422,.028432546,3,1,0,208.02589
71,,.17217447,,3,0,0,
72,.027953655,.05971019,.04635568,3,1,0,279.53656
73,.26006779,.28569072,.44834897,3,1,0,2600.678
74,.17753595,.06718637,.038705472,1,0,0,
75,,.43363529,.35446644,2,0,0,
76,.19990472,.22019996,.15340202,3,0,0,
77,.079998836,.053391621,.22738284,3,0,0,
78,.28083813,.2443296,.34075227,1,0,0,
79,.11935972,.29912251,.32504269,2,1,0,1193.5972
80,.12986697,.059239615,.1817918,2,0,0,
81,.071595967,.064828321,.20239219,2,0,0,
82,,.41048163,.2717199,1,0,0,
83,,,.78579956,2,0,0,
84,,,.33309743,2,0,0,
85,,.11896075,.23537333,3,0,0,
86,.021715315,.024339935,.028185645,1,0,0,
87,,,.1903781,2,0,0,
88,,,,1,0,1,
89,.17718256,.10633792,.073064826,2,0,0,
90,.12922201,.23131637,.10468125,3,0,0,
91,,,,3,0,1,
92,.23022565,.20996158,.36076906,1,0,0,
93,,.60351187,.25136784,2,0,1,
94,,.83503425,.2850523,1,0,0,
95,,.26127976,.021588406,1,0,0,
96,,.42577991,.42116311,3,0,0,
97,.21092719,.23840059,.15348032,1,0,1,
98,,.57189107,.33288288,1,0,0,
99,,.40343308,,3,0,0,
100,,.89058506,.26302463,2,0,1,
101,,.27249333,.32264489,1,0,0,
102,,.79706919,.24028948,1,0,1,
103,,,.8689068,1,0,0,
104,.020319959,.025059974,.091538355,1,0,0,
105,,.22798266,.021674167,3,0,0,
106,.18917523,.069883741,.089916363,2,0,0,
107,.028104641,.021428674,.079252325,3,1,0,281.04642
108,,.3695313,.87685603,2,0,1,
109,.059106901,.22036201,.6570577,1,1,0,591.06903
110,,,.15412149,2,0,0,
111,,.57157576,.22488947,3,0,1,
112,,.72528839,.1757492,1,0,0,
113,,.61174566,.3046872,3,0,0,
114,.02294464,.02115985,.019998999,2,0,0,
115,.15442711,.15517998,.32644892,1,0,0,
116,,,.53571296,1,0,0,
117,,.29117563,.2441276,3,0,1,
118,,.94236392,,2,0,1,
119,,.24064951,.42810968,2,0,0,
120,.022370765,.036187723,.021506036,1,0,0,
121,,.5848164,.19141217,2,0,0,
122,.16968271,.083761036,.073674202,1,0,0,
123,.1339431,.1139529,.17035581,1,0,0,
124,,.49887368,.15457682,2,0,0,
125,,,.74682426,2,0,1,
126,,.45180666,.23572482,1,0,0,
127,.047546513,.06034191,.026657831,3,0,0,
128,,,.24503535,1,0,1,
129,,.38551384,.78540432,2,0,1,
130,,,,2,0,0,
131,.2478752,.085697964,.26186836,2,0,1,
132,.29470909,.30867359,.3894003,3,1,1,-10000
133,,.2831614,.18517819,1,0,0,
134,.17918938,.099168308,.13792154,1,0,0,
135,,,.43351567,2,0,0,
136,.1465462,.211621,.12254152,2,0,0,
137,.16297378,.15962265,.067989327,2,0,0,
138,.13549009,.048984837,.082645953,3,0,0,
139,.048395038,.071960144,.14788795,3,1,0,483.95038
140,.28290245,.089301541,.18313876,1,0,0,
141,,.53230202,.17524131,1,0,1,
142,.25259331,.21216346,.196156,2,0,0,
143,,.26164275,,2,0,0,
144,.2300639,.17599846,.1602843,2,0,0,
145,,.96293193,.1487952,1,0,0,
146,,,.55765432,2,0,1,
147,,.45403552,.47516423,2,0,0,
148,.16721909,.086383991,.045444649,3,0,0,
149,.097444952,.47500348,.04409577,1,0,0,
150,.13333344,.11978474,.15221247,3,1,0,1333.3345
151,,.30587378,,3,0,0,
152,.27962345,.1278432,.3367272,1,0,0,
153,,,.10530251,3,0,0,
154,.24503745,.36109871,,3,1,0,2450.3745
155,,,.37283239,1,0,1,
156,.16288094,.27465716,.40742171,2,1,0,1628.8094
157,,.51334357,,3,0,0,
158,,,.56083059,3,0,1,
159,,,,1,0,1,
160,.25453517,.3370924,.73589605,1,1,0,2545.3516
161,.068448298,.10668931,.24039587,3,1,0,684.48297
162,,.29899415,.23045133,3,0,0,
163,,.46566138,,2,0,1,
164,.19533207,.26376373,.23708811,1,1,0,1953.3207
165,,,,2,0,0,
166,,.49834818,.1800705,3,0,0,
167,,,.25173679,1,0,1,
168,.098044679,.11377399,.16115311,3,1,0,980.44678
169,,.52636933,.19202338,1,0,1,
170,,,.021717617,2,0,1,
171,,.56617743,,1,0,1,
172,,,.38858721,1,0,0,
173,,,.020801548,3,0,0,
174,.025631923,.033032555,.020012939,3,1,0,256.31924
175,.23316874,.35757357,.41085216,2,1,0,2331.6873
176,,,.69439274,1,0,1,
177,.10263182,.041649185,.14813718,2,0,0,
178,,.62476677,.11154753,3,0,1,
179,,.56906891,.53349942,2,0,0,
180,.090040945,.059896648,.08911553,3,0,0,
181,,,.021305731,1,0,0,
182,.23621589,.21855009,.24562106,1,0,0,
183,,,.23957101,3,0,0,
184,.18433124,.21268052,.2035532,2,0,0,
185,,.17137255,.24447098,3,0,0,
186,,.12402219,.26983249,3,0,0,
187,,.42954439,,2,0,0,
188,,.49887368,.54519641,1,0,0,
189,,.42475638,,1,0,1,
190,,.28569072,.82474703,3,0,0,
191,.2006689,.065686643,.44937411,3,0,0,
192,.1575119,.068094328,.34153247,2,0,0,
193,.060159925,.070848994,.2758835,3,1,0,601.59924
194,,.58191496,.45624059,1,0,1,
195,,.24392371,.26495767,2,0,1,
196,.21393389,.1714846,.51528698,1,0,0,
197,,.58622313,.22879355,3,0,1,
198,,.21393818,.32046291,3,0,0,
199,.29675695,.31216446,.23197311,3,0,0,
200,,.21896125,.23320432,2,0,1,
201,,,,3,0,1,
202,,.53814805,,3,0,0,
203,,.33905092,.99934435,3,0,1,
204,,.12265655,.26217514,1,0,0,
205,.18071148,,.15254432,2,0,0,
206,,,,1,0,0,
207,.25296679,,,2,1,1,-10000
208,.13520734,.15302233,.15229577,1,0,0,
209,,.21678507,.2356572,3,0,0,
210,.033640016,.04514543,.11045906,1,0,0,
211,,.22101855,.23159879,3,0,1,
212,,,.68393868,2,0,1,
213,,.27930743,.22404829,2,0,0,
214,,.42198724,.27589962,2,0,0,
215,,.51252222,.64696056,2,0,0,
216,,.20763031,.33921152,3,0,0,
217,,.59124994,.82630509,2,0,1,
218,.27524954,.13320401,.23942877,3,0,0,
219,,.6955421,,2,0,1,
220,,,.7059499,2,0,0,
221,,,,2,0,1,
222,,.18882433,.22118956,2,0,0,
223,.19157735,.15536757,.63297164,3,0,0,
224,,.1749195,.18152481,3,0,1,
225,,.25910214,.60263216,3,0,0,
226,.02115088,.05533497,.10365171,3,1,0,211.50879
227,.1135351,.089555785,.098277777,1,0,0,
228,,.91085112,,3,0,1,
229,.29929718,.080942728,.2067094,1,0,1,
230,.098333716,.088710129,.16446884,2,0,0,
231,.21198238,.046968125,.071982622,1,0,0,
232,,,,2,0,1,
233,,.28314686,.39240178,3,0,1,
234,.29468751,.079856172,.094423331,3,0,0,
235,.14317615,.075736001,.077735037,3,0,0,
236,,.45403552,.021436844,1,0,1,
237,,,,1,0,1,
238,,.61362278,.16851556,3,0,0,
239,,.46774778,,3,0,0,
240,.22253478,.1715135,.17153387,3,0,0,
241,.20652977,.052684031,.038788069,1,0,0,
242,,.24734728,.021282567,1,0,0,
243,.020270918,.024902407,.038328446,3,1,0,202.70918
244,.084252581,.89647073,.25353891,1,1,0,842.52582
245,,.36340883,.21001215,2,0,0,
246,.066156529,.10203873,.13329972,3,1,0,661.56531
247,,,,1,0,1,
248,.077448212,.22428693,.12294896,1,1,0,774.48212
249,,.73821294,,1,0,0,
250,,.32417208,.22995053,1,0,0,
251,.19163083,.095892221,.14851087,1,0,0,
252,,.64547449,.4351635,2,0,0,
253,,.47615823,.64118606,2,0,0,
254,,.39144954,.44601679,1,0,1,
255,,.6603626,,3,0,0,
256,,.12866889,.19784752,2,0,0,
257,,.09521044,.16960002,1,0,0,
258,,.7277599,.18446322,3,0,1,
259,,,.45405293,2,0,1,
260,,,.70703369,2,0,1,
261,,.46774778,,2,0,1,
262,,.51225704,.50507569,1,0,0,
263,,.69775397,.27934545,1,0,0,
264,.11499441,.10326837,.25295568,2,0,0,
265,.035403706,.0069414778,.011514841,2,0,0,
266,.03616472,.082558475,.063838832,1,1,0,361.64719
267,,.54551142,.19862187,1,0,0,
268,,,.15412149,3,0,0,
269,,,.84021449,3,0,0,
270,,,.12306485,1,0,1,
271,,.132273,.19255982,1,0,0,
272,,,,3,0,1,
273,,.61336333,.60665739,1,0,1,
274,,,.48475879,1,0,1,
275,.02951814,.059479568,.068060935,3,1,0,295.1814
276,,.40962109,.19141309,1,0,0,
277,.091073684,.065277688,.088166401,2,0,0,
278,,.24371925,.096649431,3,0,0,
279,,,.21386711,2,0,0,
280,.063332208,.089518011,.13122378,2,1,0,633.32208
281,,.74379271,.18246341,1,0,0,
282,,.45772779,,3,0,1,
283,.13732941,.14641115,.20604908,3,1,1,-10000
284,,.71902066,.1566553,1,0,1,
285,.14232197,.070498899,.12020016,3,0,0,
286,,.94572157,,1,0,0,
287,,.20357294,.47262606,3,0,0,
288,.19475873,.10965271,.14944786,2,0,0,
289,,.76692128,,2,0,1,
290,,.42086023,.47685763,1,0,0,
291,,.40398538,.67805469,1,0,0,
292,,.17762262,.020715378,3,0,0,
293,.19592942,.13961519,.14122239,1,0,0,
294,.17887273,.062033698,.12433553,1,0,0,
295,.12028163,.056927986,.12521923,1,0,0,
296,,.35920644,.44430116,1,0,1,
297,.053622682,.038666289,.012073374,2,0,0,
298,,.74265194,.020872785,3,0,0,
299,,,.69987369,3,0,0,
300,,,,2,0,0,
301,,.19938299,.58715057,2,0,0,
302,,.98285347,.64496452,3,0,0,
303,.099476218,.12249315,.076107919,2,0,0,
304,,,,1,0,0,
305,,.41837481,.60536557,1,0,0,
306,,.16437916,.37618881,1,0,0,
307,.095876589,.048892237,.024240021,1,0,0,
308,,.65963691,.4110955,3,0,0,
309,.020954842,.021654015,.038403101,3,1,0,209.54842
310,,,,2,0,1,
311,.20665072,.35023755,.020764077,2,0,0,
312,,.19802822,.29778391,1,0,0,
313,,.34018052,.58286232,3,0,0,
314,,.21503492,.21082835,3,0,0,
315,,.22286958,.35862836,2,0,0,
316,,,.19132821,2,0,0,
317,.11746624,.23054928,.17596537,1,1,0,1174.6624
318,,,,2,0,1,
319,,.23222135,.23133488,1,0,1,
320,.12428572,.065548174,.19954309,3,0,0,
321,,.22045064,.54171437,1,0,0,
322,,.23947297,.20166196,1,0,0,
323,,.2098092,.020704167,1,0,0,
324,.14576659,.13463885,.49306741,3,1,0,1457.6659
325,,,.44804388,3,0,0,
326,,.30254936,.021715382,2,0,0,
327,.18408185,.078072324,.13984464,3,0,0,
328,.020401666,.020663153,.019000402,1,0,0,
329,,,.49433225,2,0,1,
330,.034946576,.034470689,.02144246,2,0,0,
331,,.22261031,.50899935,2,0,0,
332,,.50630909,.02131868,3,0,0,
333,.024055105,.0077542868,.038574666,2,0,0,
334,.032256458,.08311139,.1629968,2,1,0,322.56458
335,.020519216,.021093836,.018339453,3,1,0,205.19215
336,.094764911,.16766168,.12247629,3,1,0,947.64911
337,,.52971309,,1,0,0,
338,,.70958155,.13877575,1,0,1,
339,,.98285347,.1286283,3,0,0,
340,,,.12350114,1,0,0,
341,,.66441089,.47586632,2,0,0,
342,,,.84490502,3,0,0,
343,,.27224854,.20197034,2,0,0,
344,,.422988,,3,0,0,
345,.2192509,,.80265403,2,1,0,2192.509
346,,.18623595,.097312853,3,0,0,
347,,.27930906,.34870359,1,0,0,
348,.071264751,.31579724,.097683802,1,1,0,712.64752
349,,.46906698,.83697951,2,0,0,
350,,.08292453,.21494766,2,0,0,
351,,.32642454,.47322807,1,0,0,
352,,.31849667,.45759478,2,0,0,
353,,,,3,0,1,
354,,.57671422,,3,0,1,
355,.21236594,.034811776,.13625562,2,0,1,
356,,,.71371335,2,0,0,
357,.020335974,.021305779,.01900492,2,0,0,
358,,.53611362,.021554977,1,0,0,
359,,,.26158446,1,0,1,
360,.15400411,.61917341,.18875177,3,1,0,1540.0411
361,,,,1,0,0,
362,,.35431823,.16567141,2,0,0,
363,,.56906891,,3,0,0,
364,,.46886131,,1,0,0,
365,.28170595,.25286973,.18695387,1,0,0,
366,,,.17712794,3,0,0,
367,,,.61358029,2,0,0,
368,.074048676,.052430805,.034242522,3,0,0,
369,.020731805,.025436064,.044680774,3,1,0,207.31805
370,.24746221,.13854799,.15529278,2,0,0,
371,,.39354602,.22454281,1,0,0,
372,,,.28420773,3,0,0,
373,.27353194,.14980185,.23310265,2,0,0,
374,,.10127234,.2308493,1,0,0,
375,,,.22333626,3,0,1,
376,.12833942,,.25530389,2,1,0,1283.3943
377,.22428487,.55910575,.23656026,2,0,0,
378,,.46008539,.71476781,1,0,0,
379,.052539784,.042483494,.049065251,3,1,0,525.39783
380,,.46518812,.20774798,2,0,0,
381,,,.59298408,2,0,1,
382,,.49883613,.020769203,1,0,0,
383,,,,2,0,1,
384,.021472896,.025367457,.020233374,3,1,1,-10000
385,,.16384485,.61827064,3,0,0,
386,.23032816,.29220191,.71632725,1,1,0,2303.2815
387,.14139596,.13854799,.20922723,3,1,0,1413.9596
